VDS,VBS,ID1,ID2
-5,0,-0.00014146,-0.00014134
-4.99,0,-0.0001414,-0.0001413
-4.98,0,-0.00014132,-0.00014124
-4.97,0,-0.00014132,-0.00014121
-4.96,0,-0.0001413,-0.00014119
-4.95,0,-0.00014123,-0.00014114
-4.94,0,-0.00014121,-0.00014112
-4.93,0,-0.00014122,-0.0001411
-4.92,0,-0.00014119,-0.00014105
-4.91,0,-0.00014112,-0.000141
-4.9,0,-0.00014108,-0.00014102
-4.89,0,-0.00014108,-0.00014097
-4.88,0,-0.00014102,-0.00014094
-4.87,0,-0.000141,-0.0001409
-4.86,0,-0.00014099,-0.00014088
-4.85,0,-0.00014096,-0.00014088
-4.84,0,-0.00014092,-0.0001408
-4.83,0,-0.00014086,-0.00014081
-4.82,0,-0.00014087,-0.00014081
-4.81,0,-0.00014083,-0.00014076
-4.8,0,-0.00014078,-0.00014074
-4.79,0,-0.00014078,-0.00014073
-4.78,0,-0.00014076,-0.00014071
-4.77,0,-0.00014071,-0.00014064
-4.76,0,-0.00014067,-0.00014062
-4.75,0,-0.00014066,-0.00014063
-4.74,0,-0.00014067,-0.00014061
-4.73,0,-0.0001406,-0.00014055
-4.72,0,-0.00014058,-0.00014056
-4.71,0,-0.00014059,-0.00014052
-4.7,0,-0.00014057,-0.0001405
-4.69,0,-0.00014051,-0.00014045
-4.68,0,-0.00014051,-0.00014046
-4.67,0,-0.0001405,-0.00014043
-4.66,0,-0.00014045,-0.00014035
-4.65,0,-0.00014042,-0.00014037
-4.64,0,-0.00014045,-0.00014039
-4.63,0,-0.00014041,-0.00014035
-4.62,0,-0.00014034,-0.0001403
-4.61,0,-0.00014035,-0.00014028
-4.6,0,-0.00014036,-0.00014029
-4.59,0,-0.00014034,-0.00014023
-4.58,0,-0.00014027,-0.00014022
-4.57,0,-0.00014028,-0.00014022
-4.56,0,-0.00014027,-0.0001402
-4.55,0,-0.00014022,-0.00014015
-4.54,0,-0.00014017,-0.00014016
-4.53,0,-0.00014018,-0.00014016
-4.52,0,-0.00014016,-0.0001401
-4.51,0,-0.00014009,-0.00014008
-4.5,0,-0.00014012,-0.00014009
-4.49,0,-0.0001401,-0.00014004
-4.48,0,-0.00014006,-0.00014
-4.47,0,-0.00014003,-0.00014
-4.46,0,-0.00014003,-0.00014
-4.45,0,-0.00014002,-0.00013996
-4.44,0,-0.00013998,-0.0001399
-4.43,0,-0.00013994,-0.00013991
-4.42,0,-0.00013998,-0.00013989
-4.41,0,-0.00013992,-0.00013985
-4.4,0,-0.0001399,-0.00013983
-4.39,0,-0.00013992,-0.00013985
-4.38,0,-0.00013991,-0.00013983
-4.37,0,-0.00013985,-0.00013978
-4.36,0,-0.00013982,-0.00013977
-4.35,0,-0.00013982,-0.00013978
-4.34,0,-0.0001398,-0.00013969
-4.33,0,-0.00013975,-0.0001397
-4.32,0,-0.00013974,-0.00013971
-4.31,0,-0.00013976,-0.00013969
-4.3,0,-0.0001397,-0.00013965
-4.29,0,-0.00013967,-0.0001396
-4.28,0,-0.00013967,-0.00013961
-4.27,0,-0.00013967,-0.00013939
-4.26,0,-0.00013961,-0.00013934
-4.25,0,-0.00013958,-0.00013931
-4.24,0,-0.00013959,-0.00013932
-4.23,0,-0.00013956,-0.00013929
-4.22,0,-0.00013953,-0.00013925
-4.21,0,-0.00013953,-0.00013926
-4.2,0,-0.00013954,-0.00013927
-4.19,0,-0.00013946,-0.00013923
-4.18,0,-0.00013945,-0.00013917
-4.17,0,-0.00013945,-0.0001392
-4.16,0,-0.00013944,-0.00013919
-4.15,0,-0.00013938,-0.00013914
-4.14,0,-0.00013938,-0.00013913
-4.13,0,-0.00013939,-0.00013914
-4.12,0,-0.00013935,-0.00013911
-4.11,0,-0.00013931,-0.00013905
-4.1,0,-0.00013931,-0.00013907
-4.09,0,-0.0001393,-0.00013908
