VGS,VBS,ID1,ID2
-5,0,-0.0032017,-0.0032135
-4.99,0,-0.0031904,-0.0032022
-4.98,0,-0.0031792,-0.0031908
-4.97,0,-0.0031685,-0.0031805
-4.96,0,-0.0031583,-0.0031699
-4.95,0,-0.0031479,-0.0031594
-4.94,0,-0.0031375,-0.0031489
-4.93,0,-0.0031262,-0.0031376
-4.92,0,-0.0031157,-0.0031274
-4.91,0,-0.0031052,-0.0031166
-4.9,0,-0.003095,-0.0031062
-4.89,0,-0.0030843,-0.0030958
-4.88,0,-0.0030732,-0.0030846
-4.87,0,-0.003063,-0.0030744
-4.86,0,-0.0030525,-0.0030642
-4.85,0,-0.0030422,-0.0030535
-4.84,0,-0.0030319,-0.0030432
-4.83,0,-0.0030206,-0.0030318
-4.82,0,-0.0030104,-0.0030215
-4.81,0,-0.0029999,-0.0030114
-4.8,0,-0.0029897,-0.0030008
-4.79,0,-0.0029793,-0.0029904
-4.78,0,-0.002969,-0.0029802
-4.77,0,-0.0029578,-0.002969
-4.76,0,-0.0029478,-0.0029584
-4.75,0,-0.0029374,-0.0029483
-4.74,0,-0.0029272,-0.0029377
-4.73,0,-0.0029167,-0.0029277
-4.72,0,-0.0029055,-0.0029163
-4.71,0,-0.0028954,-0.0029059
-4.7,0,-0.0028849,-0.0028958
-4.69,0,-0.0028747,-0.0028854
-4.68,0,-0.0028645,-0.0028751
-4.67,0,-0.0028532,-0.002864
-4.66,0,-0.0028432,-0.0028537
-4.65,0,-0.002833,-0.0028435
-4.64,0,-0.0028226,-0.0028332
-4.63,0,-0.0028123,-0.0028228
-4.62,0,-0.0028013,-0.0028119
-4.61,0,-0.002791,-0.0028015
-4.6,0,-0.0027809,-0.0027912
-4.59,0,-0.0027706,-0.0027811
-4.58,0,-0.0027604,-0.0027709
-4.57,0,-0.0027496,-0.0027597
-4.56,0,-0.0027392,-0.0027496
-4.55,0,-0.0027291,-0.0027394
-4.54,0,-0.0027191,-0.002729
-4.53,0,-0.0027087,-0.0027188
-4.52,0,-0.0026977,-0.0027078
-4.51,0,-0.0026876,-0.0026975
-4.5,0,-0.0026773,-0.0026874
-4.49,0,-0.0026672,-0.0026771
-4.48,0,-0.002657,-0.0026669
-4.47,0,-0.0026469,-0.0026567
-4.46,0,-0.002636,-0.0026457
-4.45,0,-0.0026259,-0.0026357
-4.44,0,-0.0026157,-0.0026255
-4.43,0,-0.0026057,-0.0026152
-4.42,0,-0.0025953,-0.0026051
-4.41,0,-0.0025846,-0.0025942
-4.4,0,-0.0025744,-0.0025839
-4.39,0,-0.0025644,-0.0025738
-4.38,0,-0.0025542,-0.0025639
-4.37,0,-0.0025441,-0.0025535
-4.36,0,-0.0025332,-0.0025427
-4.35,0,-0.002523,-0.0025328
-4.34,0,-0.002513,-0.0025225
-4.33,0,-0.0025029,-0.0025123
-4.32,0,-0.0024929,-0.0025021
-4.31,0,-0.0024819,-0.0024912
-4.3,0,-0.002472,-0.0024812
-4.29,0,-0.0024619,-0.0024711
-4.28,0,-0.0024517,-0.0024608
-4.27,0,-0.0024418,-0.0024509
-4.26,0,-0.002431,-0.0024401
-4.25,0,-0.0024209,-0.0024301
-4.24,0,-0.002411,-0.00242
-4.23,0,-0.0024008,-0.0024098
-4.22,0,-0.0023909,-0.0024
-4.21,0,-0.0023811,-0.0023897
-4.2,0,-0.0023702,-0.0023788
-4.19,0,-0.0023602,-0.002369
-4.18,0,-0.0023502,-0.0023589
-4.17,0,-0.0023403,-0.0023492
-4.16,0,-0.0023302,-0.002339
-4.15,0,-0.0023195,-0.0023282
-4.14,0,-0.0023094,-0.0023181
-4.13,0,-0.0022996,-0.0023082
-4.12,0,-0.0022895,-0.002298
-4.11,0,-0.0022798,-0.0022883
-4.1,0,-0.002269,-0.0022776
-4.09,0,-0.002259,-0.0022674
-4.08,0,-0.0022491,-0.0022577
-4.07,0,-0.0022393,-0.0022477
-4.06,0,-0.0022293,-0.0022379
-4.05,0,-0.0022188,-0.002227
-4.04,0,-0.0022087,-0.0022171
-4.03,0,-0.002199,-0.0022071
-4.02,0,-0.0021891,-0.0021972
-4.01,0,-0.0021791,-0.0021872
-4,0,-0.0021686,-0.0021767
-3.99,0,-0.0021587,-0.0021667
-3.98,0,-0.0021488,-0.0021568
-3.97,0,-0.0021391,-0.002147
-3.96,0,-0.0021291,-0.0021371
-3.95,0,-0.0021186,-0.0021263
-3.94,0,-0.0021089,-0.0021166
-3.93,0,-0.0020989,-0.0021068
-3.92,0,-0.0020892,-0.0020969
-3.91,0,-0.0020794,-0.002087
-3.9,0,-0.0020695,-0.0020772
-3.89,0,-0.0020592,-0.0020667
-3.88,0,-0.0020493,-0.0020569
-3.87,0,-0.0020395,-0.0020471
-3.86,0,-0.0020297,-0.0020372
-3.85,0,-0.0020199,-0.0020275
-3.84,0,-0.0020093,-0.0020169
-3.83,0,-0.0019996,-0.002007
-3.82,0,-0.0019898,-0.0019972
-3.81,0,-0.0019801,-0.0019877
-3.8,0,-0.0019705,-0.0019778
-3.79,0,-0.0019598,-0.0019675
-3.78,0,-0.0019504,-0.0019576
-3.77,0,-0.0019405,-0.001948
-3.76,0,-0.0019309,-0.0019381
-3.75,0,-0.0019211,-0.0019284
-3.74,0,-0.0019107,-0.0019179
-3.73,0,-0.0019012,-0.0019083
-3.72,0,-0.0018915,-0.0018985
-3.71,0,-0.0018818,-0.0018888
-3.7,0,-0.0018722,-0.0018791
-3.69,0,-0.0018617,-0.0018688
-3.68,0,-0.0018522,-0.0018589
-3.67,0,-0.0018426,-0.0018495
-3.66,0,-0.001833,-0.0018396
-3.65,0,-0.0018234,-0.0018302
-3.64,0,-0.0018129,-0.0018198
-3.63,0,-0.0018036,-0.0018102
-3.62,0,-0.0017942,-0.0018008
-3.61,0,-0.0017842,-0.001791
-3.6,0,-0.0017747,-0.0017816
-3.59,0,-0.0017655,-0.001772
-3.58,0,-0.0017551,-0.0017617
-3.57,0,-0.0017455,-0.0017521
-3.56,0,-0.0017359,-0.0017423
-3.55,0,-0.0017265,-0.001733
-3.54,0,-0.001717,-0.0017235
