$ Aurora File: n/a        Date:   Misc: 
$ Atem File: p2.gtr
VARIABLE W = 1.500000e-05
VARIABLE L = 1.800000e-06
VARIABLE T = 25
VARIABLE REGION = 0

TABLE VGS  VBS  VDS  ID
5.000000e+00   -0.000000e+00   5.000000e-02   3.102150e-05
4.950000e+00   -0.000000e+00   5.000000e-02   3.072750e-05
4.900000e+00   -0.000000e+00   5.000000e-02   3.044550e-05
4.850000e+00   -0.000000e+00   5.000000e-02   3.013800e-05
4.800000e+00   -0.000000e+00   5.000000e-02   2.984700e-05
4.750000e+00   -0.000000e+00   5.000000e-02   2.954350e-05
4.700000e+00   -0.000000e+00   5.000000e-02   2.922750e-05
4.650000e+00   -0.000000e+00   5.000000e-02   2.894100e-05
4.600000e+00   -0.000000e+00   5.000000e-02   2.861750e-05
4.550000e+00   -0.000000e+00   5.000000e-02   2.830250e-05
4.500000e+00   -0.000000e+00   5.000000e-02   2.799450e-05
4.450000e+00   -0.000000e+00   5.000000e-02   2.765650e-05
4.400000e+00   -0.000000e+00   5.000000e-02   2.735300e-05
4.350000e+00   -0.000000e+00   5.000000e-02   2.704000e-05
4.300000e+00   -0.000000e+00   5.000000e-02   2.669750e-05
4.250000e+00   -0.000000e+00   5.000000e-02   2.637400e-05
4.200000e+00   -0.000000e+00   5.000000e-02   2.601900e-05
4.150000e+00   -0.000000e+00   5.000000e-02   2.569450e-05
4.100000e+00   -0.000000e+00   5.000000e-02   2.535300e-05
4.050000e+00   -0.000000e+00   5.000000e-02   2.499700e-05
4.000000e+00   -0.000000e+00   5.000000e-02   2.466200e-05
3.950000e+00   -0.000000e+00   5.000000e-02   2.430350e-05
3.900000e+00   -0.000000e+00   5.000000e-02   2.395000e-05
3.850000e+00   -0.000000e+00   5.000000e-02   2.359800e-05
3.800000e+00   -0.000000e+00   5.000000e-02   2.322050e-05
3.750000e+00   -0.000000e+00   5.000000e-02   2.286400e-05
3.700000e+00   -0.000000e+00   5.000000e-02   2.249150e-05
3.650000e+00   -0.000000e+00   5.000000e-02   2.211500e-05
3.600000e+00   -0.000000e+00   5.000000e-02   2.173350e-05
3.550000e+00   -0.000000e+00   5.000000e-02   2.135950e-05
3.500000e+00   -0.000000e+00   5.000000e-02   2.096400e-05
3.450000e+00   -0.000000e+00   5.000000e-02   2.057050e-05
3.400000e+00   -0.000000e+00   5.000000e-02   2.018400e-05
3.350000e+00   -0.000000e+00   5.000000e-02   1.977600e-05
3.300000e+00   -0.000000e+00   5.000000e-02   1.937800e-05
3.250000e+00   -0.000000e+00   5.000000e-02   1.896750e-05
3.200000e+00   -0.000000e+00   5.000000e-02   1.855550e-05
3.150000e+00   -0.000000e+00   5.000000e-02   1.814400e-05
3.100000e+00   -0.000000e+00   5.000000e-02   1.771050e-05
3.050000e+00   -0.000000e+00   5.000000e-02   1.729150e-05
3.000000e+00   -0.000000e+00   5.000000e-02   1.686650e-05
2.950000e+00   -0.000000e+00   5.000000e-02   1.642350e-05
2.900000e+00   -0.000000e+00   5.000000e-02   1.598150e-05
2.850000e+00   -0.000000e+00   5.000000e-02   1.554000e-05
2.800000e+00   -0.000000e+00   5.000000e-02   1.509100e-05
2.750000e+00   -0.000000e+00   5.000000e-02   1.463700e-05
2.700000e+00   -0.000000e+00   5.000000e-02   1.416950e-05
2.650000e+00   -0.000000e+00   5.000000e-02   1.370750e-05
2.600000e+00   -0.000000e+00   5.000000e-02   1.323950e-05
2.550000e+00   -0.000000e+00   5.000000e-02   1.276100e-05
