VDS,VGS,ID1,ID2
-5,-5,-0.00009255,-0.000092512
-4.99,-5,-0.000092537,-0.00009254
-4.98,-5,-0.000092508,-0.000092534
-4.97,-5,-0.000092536,-0.000092493
-4.96,-5,-0.00009254,-0.000092517
-4.95,-5,-0.000092504,-0.000092538
-4.94,-5,-0.000092506,-0.000092501
-4.93,-5,-0.000092534,-0.000092487
-4.92,-5,-0.000092506,-0.000092522
-4.91,-5,-0.000092484,-0.000092509
-4.9,-5,-0.000092512,-0.000092477
-4.89,-5,-0.000092512,-0.000092505
-4.88,-5,-0.000092478,-0.000092513
-4.87,-5,-0.000092491,-0.000092475
-4.86,-5,-0.000092512,-0.000092477
-4.85,-5,-0.000092478,-0.000092511
-4.84,-5,-0.000092471,-0.000092485
-4.83,-5,-0.000092499,-0.000092455
-4.82,-5,-0.000092489,-0.000092487
-4.81,-5,-0.000092457,-0.000092493
-4.8,-5,-0.000092481,-0.000092455
-4.79,-5,-0.000092492,-0.000092463
-4.78,-5,-0.00009246,-0.00009249
-4.77,-5,-0.000092458,-0.000092454
-4.76,-5,-0.000092487,-0.000092446
-4.75,-5,-0.000092468,-0.000092474
-4.74,-5,-0.000092441,-0.000092469
-4.73,-5,-0.000092469,-0.000092428
-4.72,-5,-0.000092477,-0.000092454
-4.71,-5,-0.00009244,-0.000092474
-4.7,-5,-0.000092446,-0.000092438
-4.69,-5,-0.000092467,-0.000092431
-4.68,-5,-0.000092443,-0.00009246
-4.67,-5,-0.000092426,-0.000092448
-4.66,-5,-0.000092455,-0.000092416
-4.65,-5,-0.000092452,-0.000092446
-4.64,-5,-0.000092416,-0.000092451
-4.63,-5,-0.000092431,-0.000092415
-4.62,-5,-0.000092453,-0.000092416
-4.61,-5,-0.000092421,-0.000092451
-4.6,-5,-0.000092412,-0.000092423
-4.59,-5,-0.00009244,-0.000092398
-4.58,-5,-0.000092431,-0.000092428
-4.57,-5,-0.000092401,-0.000092433
-4.56,-5,-0.000092426,-0.000092396
-4.55,-5,-0.000092437,-0.000092408
-4.54,-5,-0.000092401,-0.000092431
-4.53,-5,-0.000092404,-0.000092398
-4.52,-5,-0.000092433,-0.000092387
-4.51,-5,-0.00009241,-0.000092416
-4.5,-5,-0.000092384,-0.000092411
-4.49,-5,-0.000092413,-0.000092373
-4.48,-5,-0.000092418,-0.000092396
-4.47,-5,-0.000092382,-0.000092414
-4.46,-5,-0.000092393,-0.00009238
-4.45,-5,-0.000092416,-0.000092373
-4.44,-5,-0.000092383,-0.000092402
-4.43,-5,-0.000092373,-0.000092389
-4.42,-5,-0.000092399,-0.000092361
-4.41,-5,-0.000092395,-0.000092392
-4.4,-5,-0.000092359,-0.000092398
-4.39,-5,-0.00009238,-0.000092361
-4.38,-5,-0.000092399,-0.000092361
-4.37,-5,-0.000092364,-0.000092395
-4.36,-5,-0.000092358,-0.000092367
-4.35,-5,-0.000092384,-0.000092344
-4.34,-5,-0.000092376,-0.000092372
-4.33,-5,-0.000092345,-0.000092376
-4.32,-5,-0.000092374,-0.000092339
-4.31,-5,-0.000092379,-0.000092353
-4.3,-5,-0.000092345,-0.000092376
-4.29,-5,-0.000092347,-0.000092339
-4.28,-5,-0.000092375,-0.00009233
-4.27,-5,-0.000092349,-0.000092361
-4.26,-5,-0.000092329,-0.000092353
-4.25,-5,-0.000092358,-0.000092317
-4.24,-5,-0.00009236,-0.000092341
-4.23,-5,-0.000092323,-0.000092356
-4.22,-5,-0.000092334,-0.000092322
-4.21,-5,-0.000092356,-0.000092318
