$ Aurora File: n/a        Date:   Misc: 
$ Atem File: p2.gtr
VARIABLE W = 1.500000e-05
VARIABLE L = 1.800000e-06
VARIABLE T = 25
VARIABLE REGION = 0

TABLE VGS  VBS  VDS  ID
5.000000e+00   -0.000000e+00   5.000000e-02   3.102150e-05
4.900000e+00   -0.000000e+00   5.000000e-02   3.044550e-05
4.800000e+00   -0.000000e+00   5.000000e-02   2.984700e-05
4.700000e+00   -0.000000e+00   5.000000e-02   2.922750e-05
4.600000e+00   -0.000000e+00   5.000000e-02   2.861750e-05
4.500000e+00   -0.000000e+00   5.000000e-02   2.799450e-05
4.400000e+00   -0.000000e+00   5.000000e-02   2.735300e-05
4.300000e+00   -0.000000e+00   5.000000e-02   2.669750e-05
4.200000e+00   -0.000000e+00   5.000000e-02   2.601900e-05
4.100000e+00   -0.000000e+00   5.000000e-02   2.535300e-05
4.000000e+00   -0.000000e+00   5.000000e-02   2.466200e-05
3.900000e+00   -0.000000e+00   5.000000e-02   2.395000e-05
3.800000e+00   -0.000000e+00   5.000000e-02   2.322050e-05
3.700000e+00   -0.000000e+00   5.000000e-02   2.249150e-05
3.600000e+00   -0.000000e+00   5.000000e-02   2.173350e-05
3.500000e+00   -0.000000e+00   5.000000e-02   2.096400e-05
3.400000e+00   -0.000000e+00   5.000000e-02   2.018400e-05
3.300000e+00   -0.000000e+00   5.000000e-02   1.937800e-05
3.200000e+00   -0.000000e+00   5.000000e-02   1.855550e-05
3.100000e+00   -0.000000e+00   5.000000e-02   1.771050e-05
3.000000e+00   -0.000000e+00   5.000000e-02   1.686650e-05
2.900000e+00   -0.000000e+00   5.000000e-02   1.598150e-05
2.800000e+00   -0.000000e+00   5.000000e-02   1.509100e-05
2.700000e+00   -0.000000e+00   5.000000e-02   1.416950e-05
2.600000e+00   -0.000000e+00   5.000000e-02   1.323950e-05
2.500000e+00   -0.000000e+00   5.000000e-02   1.229250e-05
2.400000e+00   -0.000000e+00   5.000000e-02   1.131450e-05
2.300000e+00   -0.000000e+00   5.000000e-02   1.030950e-05
2.200000e+00   -0.000000e+00   5.000000e-02   9.299500e-06
2.100000e+00   -0.000000e+00   5.000000e-02   8.271550e-06
2.000000e+00   -0.000000e+00   5.000000e-02   7.221450e-06
1.900000e+00   -0.000000e+00   5.000000e-02   6.164050e-06
1.800000e+00   -0.000000e+00   5.000000e-02   5.110150e-06
1.700000e+00   -0.000000e+00   5.000000e-02   4.066300e-06
1.600000e+00   -0.000000e+00   5.000000e-02   3.058300e-06
1.500000e+00   -0.000000e+00   5.000000e-02   2.114000e-06
1.400000e+00   -0.000000e+00   5.000000e-02   1.281250e-06
1.300000e+00   -0.000000e+00   5.000000e-02   6.252300e-07
1.200000e+00   -0.000000e+00   5.000000e-02   2.230400e-07
1.100000e+00   -0.000000e+00   5.000000e-02   5.641350e-08
1.000000e+00   -0.000000e+00   5.000000e-02   2.391150e-08
9.000000e-01   -0.000000e+00   5.000000e-02   4.934500e-09
8.000000e-01   -0.000000e+00   5.000000e-02   8.935000e-10
7.000000e-01   -0.000000e+00   5.000000e-02   -1.350000e-10
6.000000e-01   -0.000000e+00   5.000000e-02   1.512200e-08
5.000000e-01   -0.000000e+00   5.000000e-02   9.250000e-11
4.000000e-01   -0.000000e+00   5.000000e-02   3.038500e-09
3.000000e-01   -0.000000e+00   5.000000e-02   1.500700e-08
2.000000e-01   -0.000000e+00   5.000000e-02   7.680000e-10
1.000000e-01   -0.000000e+00   5.000000e-02   -1.927600e-08
