VDS,VBS,ID1,ID2
-5,0,-0.00076183,-0.00075995
-4.99,0,-0.00076157,-0.00075966
-4.98,0,-0.00076132,-0.00075935
-4.97,0,-0.00076102,-0.00075912
-4.96,0,-0.00076073,-0.00075882
-4.95,0,-0.00076048,-0.00075856
-4.94,0,-0.00076024,-0.00075827
-4.93,0,-0.00075995,-0.000758
-4.92,0,-0.00075966,-0.00075777
-4.91,0,-0.00075942,-0.00075748
-4.9,0,-0.00075912,-0.00075722
-4.89,0,-0.00075885,-0.00075697
-4.88,0,-0.00075859,-0.0007567
-4.87,0,-0.00075833,-0.00075637
-4.86,0,-0.00075803,-0.00075615
-4.85,0,-0.00075781,-0.00075586
-4.84,0,-0.00075753,-0.00075561
-4.83,0,-0.00075727,-0.00075531
-4.82,0,-0.00075695,-0.00075507
-4.81,0,-0.00075675,-0.00075479
-4.8,0,-0.00075646,-0.00075446
-4.79,0,-0.00075616,-0.00075425
-4.78,0,-0.00075591,-0.00075398
-4.77,0,-0.0007556,-0.00075368
-4.76,0,-0.00075536,-0.00075342
-4.75,0,-0.00075508,-0.00075315
-4.74,0,-0.0007548,-0.0007529
-4.73,0,-0.00075457,-0.00075263
-4.72,0,-0.00075423,-0.00075231
-4.71,0,-0.000754,-0.00075212
-4.7,0,-0.00075374,-0.00075183
-4.69,0,-0.00075347,-0.00075152
-4.68,0,-0.0007532,-0.00075131
-4.67,0,-0.0007529,-0.00075102
-4.66,0,-0.00075265,-0.00075072
-4.65,0,-0.00075239,-0.00075046
-4.64,0,-0.00075212,-0.00075019
-4.63,0,-0.00075188,-0.00074992
-4.62,0,-0.00075156,-0.00074962
-4.61,0,-0.00075128,-0.00074937
-4.6,0,-0.00075102,-0.00074912
-4.59,0,-0.00075075,-0.00074886
-4.58,0,-0.00075051,-0.00074853
-4.57,0,-0.00075021,-0.00074829
-4.56,0,-0.00074995,-0.00074805
-4.55,0,-0.0007497,-0.00074776
-4.54,0,-0.00074941,-0.00074747
-4.53,0,-0.00074909,-0.00074723
-4.52,0,-0.00074887,-0.00074693
-4.51,0,-0.00074859,-0.00074663
-4.5,0,-0.00074831,-0.00074643
-4.49,0,-0.00074806,-0.00074613
-4.48,0,-0.00074779,-0.00074585
-4.47,0,-0.00074752,-0.00074558
-4.46,0,-0.00074721,-0.00074526
-4.45,0,-0.00074694,-0.00074503
-4.44,0,-0.00074671,-0.00074477
-4.43,0,-0.00074637,-0.00074451
-4.42,0,-0.00074613,-0.00074424
-4.41,0,-0.00074585,-0.00074393
-4.4,0,-0.00074556,-0.00074364
-4.39,0,-0.00074531,-0.00074342
-4.38,0,-0.00074503,-0.00074311
-4.37,0,-0.00074479,-0.00074286
-4.36,0,-0.00074446,-0.00074256
-4.35,0,-0.00074421,-0.00074229
-4.34,0,-0.00074394,-0.00074202
-4.33,0,-0.00074368,-0.00074174
-4.32,0,-0.00074337,-0.00074149
-4.31,0,-0.00074309,-0.00074118
-4.3,0,-0.00074284,-0.00074089
-4.29,0,-0.00074256,-0.0007406
-4.28,0,-0.00074225,-0.00074039
-4.27,0,-0.00074201,-0.00074007
-4.26,0,-0.00074172,-0.00073979
-4.25,0,-0.00074143,-0.00073952
-4.24,0,-0.00074117,-0.00073924
-4.23,0,-0.00074088,-0.00073898
-4.22,0,-0.00074059,-0.0007387
-4.21,0,-0.0007403,-0.0007384
-4.2,0,-0.00074006,-0.00073813
-4.19,0,-0.00073976,-0.00073784
-4.18,0,-0.00073949,-0.00073758
-4.17,0,-0.00073918,-0.00073731
-4.16,0,-0.0007389,-0.00073701
-4.15,0,-0.00073862,-0.00073672
-4.14,0,-0.00073837,-0.00073644
-4.13,0,-0.00073808,-0.00073618
-4.12,0,-0.00073781,-0.00073589
-4.11,0,-0.00073753,-0.00073557
-4.1,0,-0.00073723,-0.00073533
-4.09,0,-0.00073696,-0.00073506
-4.08,0,-0.00073669,-0.00073477
-4.07,0,-0.00073636,-0.00073449
-4.06,0,-0.00073613,-0.00073419
-4.05,0,-0.00073583,-0.00073391
-4.04,0,-0.00073556,-0.0007336
-4.03,0,-0.00073523,-0.00073336
-4.02,0,-0.000735,-0.0007331
-4.01,0,-0.00073466,-0.00073277
-4,0,-0.00073438,-0.00073246
-3.99,0,-0.00073412,-0.00073219
-3.98,0,-0.00073385,-0.00073189
-3.97,0,-0.00073353,-0.00073162
-3.96,0,-0.00073323,-0.00073134
-3.95,0,-0.00073292,-0.00073103
-3.94,0,-0.00073268,-0.00073079
-3.93,0,-0.00073239,-0.00073045
-3.92,0,-0.00073211,-0.00073022
-3.91,0,-0.00073181,-0.00072991
-3.9,0,-0.0007315,-0.0007296
-3.89,0,-0.00073121,-0.00072931
-3.88,0,-0.00073095,-0.00072903
-3.87,0,-0.00073064,-0.00072874
-3.86,0,-0.00073037,-0.00072846
-3.85,0,-0.00073005,-0.00072816
-3.84,0,-0.0007298,-0.00072789
-3.83,0,-0.00072949,-0.0007276
-3.82,0,-0.00072918,-0.00072728
-3.81,0,-0.00072893,-0.00072701
-3.8,0,-0.00072863,-0.00072668
-3.79,0,-0.00072829,-0.0007264
-3.78,0,-0.00072801,-0.00072613
-3.77,0,-0.00072774,-0.00072583
-3.76,0,-0.00072745,-0.00072553
-3.75,0,-0.00072709,-0.0007252
-3.74,0,-0.00072685,-0.00072499
-3.73,0,-0.00072661,-0.00072466
-3.72,0,-0.00072627,-0.00072438
-3.71,0,-0.00072601,-0.00072406
-3.7,0,-0.00072566,-0.00072377
-3.69,0,-0.00072538,-0.00072345
-3.68,0,-0.00072508,-0.00072315
-3.67,0,-0.00072479,-0.00072288
-3.66,0,-0.00072448,-0.00072259
-3.65,0,-0.00072417,-0.00072225
-3.64,0,-0.00072387,-0.00072194
-3.63,0,-0.00072357,-0.0007217
-3.62,0,-0.00072329,-0.00072138
-3.61,0,-0.00072301,-0.00072112
-3.6,0,-0.00072271,-0.00072074
-3.59,0,-0.0007224,-0.00072046
-3.58,0,-0.00072207,-0.00072018
-3.57,0,-0.00072179,-0.00071988
-3.56,0,-0.00072149,-0.00071961
-3.55,0,-0.00072116,-0.00071926
-3.54,0,-0.00072082,-0.000719
-3.53,0,-0.00072058,-0.00071867
-3.52,0,-0.00072029,-0.00071839
-3.51,0,-0.00071998,-0.00071809
-3.5,0,-0.00071965,-0.00071773
-3.49,0,-0.00071937,-0.00071747
-3.48,0,-0.00071903,-0.00071716
-3.47,0,-0.00071872,-0.00071684
-3.46,0,-0.00071845,-0.00071653
-3.45,0,-0.00071812,-0.00071623
-3.44,0,-0.00071781,-0.00071591
-3.43,0,-0.00071752,-0.00071559
-3.42,0,-0.00071722,-0.00071529
-3.41,0,-0.00071688,-0.00071497
-3.4,0,-0.00071656,-0.00071465
-3.39,0,-0.00071625,-0.00071433
-3.38,0,-0.00071596,-0.00071406
-3.37,0,-0.00071567,-0.00071374
-3.36,0,-0.00071534,-0.00071342
-3.35,0,-0.00071503,-0.00071311
-3.34,0,-0.00071468,-0.00071281
-3.33,0,-0.00071438,-0.00071251
-3.32,0,-0.00071409,-0.00071217
-3.31,0,-0.0007138,-0.00071185
-3.3,0,-0.00071345,-0.00071152
-3.29,0,-0.00071314,-0.00071122
-3.28,0,-0.00071286,-0.00071087
-3.27,0,-0.00071252,-0.00071063
-3.26,0,-0.00071219,-0.00071031
-3.25,0,-0.00071191,-0.00070996
-3.24,0,-0.00071157,-0.00070963
-3.23,0,-0.00071121,-0.00070934
-3.22,0,-0.00071093,-0.00070904
-3.21,0,-0.00071061,-0.00070869
-3.2,0,-0.0007103,-0.0007084
-3.19,0,-0.00070993,-0.00070804
-3.18,0,-0.00070964,-0.00070771
-3.17,0,-0.00070934,-0.0007074
-3.16,0,-0.00070898,-0.0007071
-3.15,0,-0.00070869,-0.00070679
-3.14,0,-0.00070833,-0.00070642
-3.13,0,-0.00070799,-0.00070609
-3.12,0,-0.00070767,-0.00070576
-3.11,0,-0.00070741,-0.00070546
-3.1,0,-0.00070706,-0.00070514
-3.09,0,-0.0007067,-0.00070478
-3.08,0,-0.00070636,-0.00070448
-3.07,0,-0.00070605,-0.00070413
-3.06,0,-0.00070574,-0.00070381
-3.05,0,-0.00070535,-0.00070349
-3.04,0,-0.00070508,-0.00070316
-3.03,0,-0.00070473,-0.00070283
-3.02,0,-0.00070436,-0.00070246
-3.01,0,-0.00070404,-0.00070216
-3,0,-0.00070373,-0.00070182
-2.99,0,-0.00070337,-0.00070146
-2.98,0,-0.00070303,-0.00070115
-2.97,0,-0.00070271,-0.0007008
-2.96,0,-0.00070238,-0.00070045
-2.95,0,-0.00070203,-0.00070014
-2.94,0,-0.00070166,-0.00069977
-2.93,0,-0.00070136,-0.00069944
-2.92,0,-0.00070104,-0.00069907
-2.91,0,-0.00070063,-0.00069878
-2.9,0,-0.00070034,-0.00069844
-2.89,0,-0.00069997,-0.00069805
-2.88,0,-0.00069962,-0.00069769
-2.87,0,-0.00069928,-0.00069738
-2.86,0,-0.00069894,-0.00069704
-2.85,0,-0.00069859,-0.00069668
-2.84,0,-0.00069819,-0.00069633
-2.83,0,-0.0006979,-0.00069597
-2.82,0,-0.00069756,-0.00069562
-2.81,0,-0.0006972,-0.0006953
-2.8,0,-0.00069684,-0.00069496
-2.79,0,-0.00069648,-0.00069457
-2.78,0,-0.00069611,-0.00069422
-2.77,0,-0.00069573,-0.00069388
-2.76,0,-0.00069543,-0.00069351
-2.75,0,-0.00069507,-0.00069316
-2.74,0,-0.00069465,-0.00069277
-2.73,0,-0.00069432,-0.00069244
-2.72,0,-0.00069394,-0.00069209
-2.71,0,-0.00069361,-0.00069171
-2.7,0,-0.00069321,-0.00069135
-2.69,0,-0.00069286,-0.00069099
-2.68,0,-0.00069249,-0.00069061
-2.67,0,-0.00069214,-0.00069023
-2.66,0,-0.00069176,-0.00068988
-2.65,0,-0.0006914,-0.00068951
-2.64,0,-0.00069105,-0.00068913
-2.63,0,-0.00069064,-0.00068873
-2.62,0,-0.00069029,-0.00068838
-2.61,0,-0.00068989,-0.00068803
-2.6,0,-0.00068953,-0.00068765
-2.59,0,-0.00068914,-0.00068727
-2.58,0,-0.00068876,-0.0006869
-2.57,0,-0.00068838,-0.00068652
-2.56,0,-0.00068798,-0.00068613
-2.55,0,-0.00068761,-0.00068574
-2.54,0,-0.00068728,-0.00068535
-2.53,0,-0.00068681,-0.00068499
-2.52,0,-0.00068644,-0.00068457
-2.51,0,-0.00068605,-0.00068423
-2.5,0,-0.00068569,-0.00068381
-2.49,0,-0.00068531,-0.00068339
-2.48,0,-0.00068487,-0.000683
-2.47,0,-0.0006845,-0.00068263
-2.46,0,-0.00068409,-0.00068221
-2.45,0,-0.00068369,-0.00068181
-2.44,0,-0.00068334,-0.00068144
-2.43,0,-0.00068285,-0.00068101
-2.42,0,-0.00068245,-0.0006806
-2.41,0,-0.00068207,-0.0006802
-2.4,0,-0.0006817,-0.0006798
-2.39,0,-0.00068126,-0.00067942
-2.38,0,-0.00068083,-0.00067897
-2.37,0,-0.00068044,-0.00067857
-2.36,0,-0.00068004,-0.00067814
-2.35,0,-0.00067958,-0.00067773
-2.34,0,-0.0006792,-0.00067731
-2.33,0,-0.00067874,-0.0006769
-2.32,0,-0.00067833,-0.00067648
-2.31,0,-0.00067788,-0.00067605
-2.3,0,-0.00067748,-0.00067559
-2.29,0,-0.00067709,-0.0006752
-2.28,0,-0.0006766,-0.00067476
-2.27,0,-0.00067613,-0.00067429
-2.26,0,-0.00067575,-0.00067388
-2.25,0,-0.00067529,-0.00067343
-2.24,0,-0.00067484,-0.00067299
-2.23,0,-0.00067442,-0.00067252
-2.22,0,-0.00067396,-0.00067207
-2.21,0,-0.00067349,-0.00067168
-2.2,0,-0.00067306,-0.0006712
-2.19,0,-0.00067261,-0.00067075
-2.18,0,-0.00067214,-0.00067027
-2.17,0,-0.00067165,-0.00066982
-2.16,0,-0.00067125,-0.00066935
-2.15,0,-0.00067079,-0.00066891
-2.14,0,-0.0006703,-0.00066844
-2.13,0,-0.00066979,-0.00066796
-2.12,0,-0.00066933,-0.00066746
-2.11,0,-0.00066887,-0.000667
-2.1,0,-0.00066837,-0.00066651
-2.09,0,-0.00066794,-0.00066605
-2.08,0,-0.0006674,-0.00066553
-2.07,0,-0.0006669,-0.00066506
-2.06,0,-0.0006664,-0.00066457
-2.05,0,-0.00066591,-0.00066407
-2.04,0,-0.00066543,-0.00066358
-2.03,0,-0.00066494,-0.00066308
-2.02,0,-0.00066439,-0.00066255
-2.01,0,-0.0006639,-0.000662
-2,0,-0.00066339,-0.00066151
-1.99,0,-0.00066284,-0.00066101
-1.98,0,-0.00066236,-0.0006605
-1.97,0,-0.00066178,-0.00065997
-1.96,0,-0.00066124,-0.00065943
-1.95,0,-0.00066075,-0.00065887
-1.94,0,-0.00066022,-0.00065837
-1.93,0,-0.00065966,-0.00065782
-1.92,0,-0.00065907,-0.00065725
-1.91,0,-0.00065854,-0.00065669
-1.9,0,-0.00065799,-0.00065614
-1.89,0,-0.00065743,-0.00065561
-1.88,0,-0.00065686,-0.00065503
-1.87,0,-0.00065626,-0.00065441
-1.86,0,-0.00065568,-0.00065389
-1.85,0,-0.00065511,-0.00065329
-1.84,0,-0.00065453,-0.0006527
-1.83,0,-0.00065396,-0.00065211
-1.82,0,-0.00065331,-0.00065147
-1.81,0,-0.00065272,-0.00065087
-1.8,0,-0.00065213,-0.00065028
-1.79,0,-0.0006515,-0.00064965
-1.78,0,-0.00065085,-0.00064906
-1.77,0,-0.00065021,-0.00064838
-1.76,0,-0.0006496,-0.00064773
-1.75,0,-0.00064895,-0.00064713
-1.74,0,-0.00064831,-0.0006465
-1.73,0,-0.00064769,-0.00064583
-1.72,0,-0.00064697,-0.00064509
-1.71,0,-0.00064627,-0.00064444
-1.7,0,-0.00064562,-0.00064376
-1.69,0,-0.00064494,-0.00064309
-1.68,0,-0.00064425,-0.00064242
-1.67,0,-0.00064347,-0.00064166
-1.66,0,-0.00064279,-0.00064096
-1.65,0,-0.00064209,-0.00064023
