VDS,VGS,ID1,ID2
-5,-5,-0.0031337,-0.0031273
-4.99,-5,-0.0031328,-0.0031264
-4.98,-5,-0.003132,-0.0031252
-4.97,-5,-0.0031308,-0.0031243
-4.96,-5,-0.0031301,-0.0031233
-4.95,-5,-0.0031289,-0.0031223
-4.94,-5,-0.0031282,-0.0031214
-4.93,-5,-0.0031271,-0.0031205
-4.92,-5,-0.0031258,-0.0031194
-4.91,-5,-0.0031252,-0.0031184
-4.9,-5,-0.0031241,-0.0031175
-4.89,-5,-0.0031233,-0.0031164
-4.88,-5,-0.0031223,-0.0031156
-4.87,-5,-0.0031215,-0.0031146
-4.86,-5,-0.0031205,-0.0031137
-4.85,-5,-0.0031195,-0.0031127
-4.84,-5,-0.0031186,-0.003112
-4.83,-5,-0.0031176,-0.0031109
-4.82,-5,-0.0031168,-0.0031099
-4.81,-5,-0.0031159,-0.0031089
-4.8,-5,-0.003115,-0.003108
-4.79,-5,-0.003114,-0.0031072
-4.78,-5,-0.0031129,-0.0031063
-4.77,-5,-0.0031119,-0.0031053
-4.76,-5,-0.0031109,-0.0031044
-4.75,-5,-0.00311,-0.0031031
-4.74,-5,-0.0031091,-0.0031025
-4.73,-5,-0.003108,-0.0031016
-4.72,-5,-0.003107,-0.0031003
-4.71,-5,-0.0031062,-0.0030994
-4.7,-5,-0.0031049,-0.0030987
-4.69,-5,-0.0031044,-0.0030975
-4.68,-5,-0.0031031,-0.0030968
-4.67,-5,-0.0031021,-0.0030954
-4.66,-5,-0.0031013,-0.0030949
-4.65,-5,-0.0031004,-0.0030936
-4.64,-5,-0.0030996,-0.0030927
-4.63,-5,-0.0030984,-0.0030918
-4.62,-5,-0.0030973,-0.0030907
-4.61,-5,-0.0030963,-0.0030897
-4.6,-5,-0.0030955,-0.0030889
-4.59,-5,-0.0030945,-0.003088
-4.58,-5,-0.0030936,-0.003087
-4.57,-5,-0.0030925,-0.0030861
-4.56,-5,-0.0030916,-0.0030852
-4.55,-5,-0.0030904,-0.0030839
-4.54,-5,-0.0030898,-0.0030832
-4.53,-5,-0.0030888,-0.0030819
-4.52,-5,-0.0030876,-0.003081
-4.51,-5,-0.0030865,-0.0030801
-4.5,-5,-0.0030856,-0.0030791
-4.49,-5,-0.0030848,-0.0030779
-4.48,-5,-0.0030839,-0.003077
-4.47,-5,-0.0030827,-0.0030761
-4.46,-5,-0.0030814,-0.003075
-4.45,-5,-0.0030805,-0.0030737
-4.44,-5,-0.0030796,-0.0030731
-4.43,-5,-0.0030786,-0.0030721
