VGS,VDS,ID1,ID2
-5,-5,-0.00072067,-0.00072551
-4.99,-5,-0.00071631,-0.00072111
-4.98,-5,-0.00071195,-0.00071668
-4.97,-5,-0.00070788,-0.00071258
-4.96,-5,-0.00070385,-0.00070853
-4.95,-5,-0.00069984,-0.00070445
-4.94,-5,-0.00069584,-0.00070039
-4.93,-5,-0.00069149,-0.00069602
-4.92,-5,-0.00068748,-0.00069201
-4.91,-5,-0.00068347,-0.00068797
-4.9,-5,-0.00067948,-0.00068395
-4.89,-5,-0.00067553,-0.00067999
-4.88,-5,-0.0006716,-0.00067599
-4.87,-5,-0.00066734,-0.00067172
-4.86,-5,-0.00066337,-0.00066771
-4.85,-5,-0.00065942,-0.00066377
-4.84,-5,-0.00065552,-0.00065982
-4.83,-5,-0.00065161,-0.00065583
-4.82,-5,-0.0006474,-0.00065161
-4.81,-5,-0.00064347,-0.00064767
-4.8,-5,-0.00063962,-0.00064375
-4.79,-5,-0.00063574,-0.00063983
-4.78,-5,-0.00063183,-0.00063597
-4.77,-5,-0.00062768,-0.00063173
-4.76,-5,-0.00062384,-0.00062785
-4.75,-5,-0.00061999,-0.00062397
-4.74,-5,-0.00061614,-0.00062013
-4.73,-5,-0.00061234,-0.00061625
-4.72,-5,-0.00060819,-0.00061209
-4.71,-5,-0.00060436,-0.00060827
-4.7,-5,-0.0006006,-0.00060444
-4.69,-5,-0.00059684,-0.0006006
-4.68,-5,-0.00059301,-0.00059679
-4.67,-5,-0.00058893,-0.00059272
-4.66,-5,-0.00058518,-0.00058889
-4.65,-5,-0.00058144,-0.00058513
-4.64,-5,-0.00057766,-0.00058136
-4.63,-5,-0.00057392,-0.00057757
-4.62,-5,-0.00056993,-0.00057353
-4.61,-5,-0.0005662,-0.00056976
-4.6,-5,-0.00056247,-0.00056604
-4.59,-5,-0.00055878,-0.00056229
-4.58,-5,-0.00055505,-0.00055857
-4.57,-5,-0.00055137,-0.00055482
-4.56,-5,-0.00054737,-0.00055086
-4.55,-5,-0.00054374,-0.00054717
-4.54,-5,-0.00054007,-0.00054344
-4.53,-5,-0.00053641,-0.0005398
-4.52,-5,-0.00053277,-0.00053614
-4.51,-5,-0.00052888,-0.00053217
-4.5,-5,-0.00052526,-0.00052852
-4.49,-5,-0.00052165,-0.00052491
-4.48,-5,-0.00051803,-0.00052125
-4.47,-5,-0.00051446,-0.00051762
-4.46,-5,-0.0005106,-0.00051372
-4.45,-5,-0.00050702,-0.00051011
-4.44,-5,-0.00050347,-0.00050654
-4.43,-5,-0.00049987,-0.0005029
-4.42,-5,-0.00049633,-0.00049936
-4.41,-5,-0.00049256,-0.00049554
-4.4,-5,-0.00048903,-0.00049197
-4.39,-5,-0.0004855,-0.00048839
-4.38,-5,-0.00048197,-0.00048487
-4.37,-5,-0.00047846,-0.00048135
-4.36,-5,-0.00047474,-0.00047755
-4.35,-5,-0.00047124,-0.00047405
-4.34,-5,-0.00046777,-0.00047053
-4.33,-5,-0.00046431,-0.000467
-4.32,-5,-0.00046084,-0.00046354
-4.31,-5,-0.00045714,-0.00045982
-4.3,-5,-0.00045372,-0.00045639
-4.29,-5,-0.00045029,-0.0004529
-4.28,-5,-0.00044688,-0.00044946
