VGS,VDS,ID1,ID2
-5,-5,-0.0015071,-0.0015077
-4.99,-5,-0.0014965,-0.0014975
-4.98,-5,-0.0014864,-0.0014869
-4.97,-5,-0.0014769,-0.0014775
-4.96,-5,-0.0014671,-0.0014677
-4.95,-5,-0.0014576,-0.0014582
-4.94,-5,-0.0014481,-0.001449
-4.93,-5,-0.001438,-0.0014385
-4.92,-5,-0.0014287,-0.0014293
-4.91,-5,-0.001419,-0.0014198
-4.9,-5,-0.0014097,-0.0014103
-4.89,-5,-0.0014004,-0.0014009
-4.88,-5,-0.0013901,-0.0013906
-4.87,-5,-0.0013807,-0.0013814
-4.86,-5,-0.0013714,-0.001372
-4.85,-5,-0.0013619,-0.0013627
-4.84,-5,-0.0013529,-0.0013533
-4.83,-5,-0.0013428,-0.0013433
-4.82,-5,-0.0013334,-0.0013339
-4.81,-5,-0.0013243,-0.0013246
-4.8,-5,-0.001315,-0.0013153
-4.79,-5,-0.0013058,-0.0013061
-4.78,-5,-0.001296,-0.0012963
-4.77,-5,-0.0012866,-0.0012869
-4.76,-5,-0.0012774,-0.0012778
-4.75,-5,-0.0012683,-0.0012687
-4.74,-5,-0.0012592,-0.0012596
-4.73,-5,-0.0012501,-0.0012502
-4.72,-5,-0.0012402,-0.0012406
-4.71,-5,-0.001231,-0.0012313
-4.7,-5,-0.001222,-0.0012227
-4.69,-5,-0.0012129,-0.0012135
-4.68,-5,-0.001204,-0.0012043
-4.67,-5,-0.0011944,-0.0011947
-4.66,-5,-0.0011854,-0.0011855
-4.65,-5,-0.0011765,-0.0011766
-4.64,-5,-0.0011673,-0.0011676
-4.63,-5,-0.0011583,-0.0011586
-4.62,-5,-0.0011488,-0.001149
-4.61,-5,-0.0011399,-0.0011401
-4.6,-5,-0.0011311,-0.0011313
-4.59,-5,-0.0011219,-0.0011224
-4.58,-5,-0.0011133,-0.0011133
-4.57,-5,-0.0011037,-0.001104
-4.56,-5,-0.0010948,-0.0010954
-4.55,-5,-0.0010859,-0.0010863
-4.54,-5,-0.0010772,-0.0010775
-4.53,-5,-0.0010685,-0.0010691
-4.52,-5,-0.0010591,-0.0010595
-4.51,-5,-0.0010504,-0.001051
-4.5,-5,-0.0010417,-0.001042
-4.49,-5,-0.0010332,-0.0010333
-4.48,-5,-0.0010243,-0.0010248
-4.47,-5,-0.0010157,-0.001016
-4.46,-5,-0.0010064,-0.0010068
-4.45,-5,-0.00099769,-0.00099799
-4.44,-5,-0.00098897,-0.00098939
-4.43,-5,-0.00098047,-0.00098091
-4.42,-5,-0.00097183,-0.00097236
-4.41,-5,-0.00096284,-0.0009631
-4.4,-5,-0.0009543,-0.0009546
-4.39,-5,-0.00094583,-0.00094612
-4.38,-5,-0.00093723,-0.00093761
-4.37,-5,-0.00092871,-0.00092912
-4.36,-5,-0.0009196,-0.00092009
-4.35,-5,-0.00091134,-0.00091171
-4.34,-5,-0.00090305,-0.0009033
-4.33,-5,-0.00089472,-0.00089494
-4.32,-5,-0.00088642,-0.00088665
-4.31,-5,-0.00087745,-0.00087781
-4.3,-5,-0.00086922,-0.00086955
-4.29,-5,-0.0008609,-0.00086135
-4.28,-5,-0.00085263,-0.00085304
-4.27,-5,-0.00084461,-0.00084481
-4.26,-5,-0.00083568,-0.00083596
-4.25,-5,-0.0008275,-0.00082789
-4.24,-5,-0.0008194,-0.0008198
-4.23,-5,-0.00081126,-0.00081163
-4.22,-5,-0.00080323,-0.00080355
-4.21,-5,-0.00079454,-0.0007949
-4.2,-5,-0.00078643,-0.00078673
-4.19,-5,-0.0007784,-0.00077868
-4.18,-5,-0.00077035,-0.00077069
-4.17,-5,-0.00076241,-0.00076279
-4.16,-5,-0.00075458,-0.00075487
-4.15,-5,-0.00074597,-0.00074627
-4.14,-5,-0.00073801,-0.0007384
-4.13,-5,-0.0007302,-0.00073066
-4.12,-5,-0.0007223,-0.00072288
-4.11,-5,-0.00071451,-0.00071504
-4.1,-5,-0.00070618,-0.00070665
-4.09,-5,-0.00069838,-0.00069882
-4.08,-5,-0.00069076,-0.00069107
-4.07,-5,-0.00068298,-0.00068341
-4.06,-5,-0.00067524,-0.00067571
-4.05,-5,-0.0006671,-0.00066752
-4.04,-5,-0.00065939,-0.00065985
-4.03,-5,-0.00065181,-0.0006523
-4.02,-5,-0.00064428,-0.00064473
-4.01,-5,-0.00063684,-0.00063743
-4,-5,-0.00062869,-0.00062905
-3.99,-5,-0.00062133,-0.00062157
-3.98,-5,-0.00061389,-0.00061418
