VDS,VBS,ID1,ID2
0,-0.5,0.00000015917,0.00000015656
0.01,-0.5,0.000030034,0.000029945
0.02,-0.5,0.000059299,0.000059337
0.03,-0.5,0.00009079,0.000090747
0.04,-0.5,0.00011978,0.0001198
0.05,-0.5,0.00014855,0.00014843
0.06,-0.5,0.000177,0.000177
0.07,-0.5,0.00020531,0.0002053
0.08,-0.5,0.00023343,0.00023339
0.09,-0.5,0.00026369,0.00026362
0.1,-0.5,0.00029111,0.00029112
0.11,-0.5,0.00031849,0.00031846
0.12,-0.5,0.0003456,0.00034546
0.13,-0.5,0.00037232,0.00037234
0.14,-0.5,0.000401,0.00040098
0.15,-0.5,0.00042727,0.00042725
0.16,-0.5,0.00045331,0.00045317
0.17,-0.5,0.00047905,0.00047899
0.18,-0.5,0.00050454,0.00050443
0.19,-0.5,0.00053188,0.00053176
0.2,-0.5,0.00055668,0.00055668
0.21,-0.5,0.00058135,0.00058127
0.22,-0.5,0.00060567,0.00060558
0.23,-0.5,0.0006297,0.00062959
0.24,-0.5,0.00065525,0.00065515
0.25,-0.5,0.0006787,0.00067863
0.26,-0.5,0.00070188,0.00070168
0.27,-0.5,0.00072468,0.00072452
0.28,-0.5,0.00074719,0.00074712
0.29,-0.5,0.00077116,0.00077111
0.3,-0.5,0.00079313,0.00079295
0.31,-0.5,0.00081455,0.0008145
0.32,-0.5,0.00083584,0.00083574
0.33,-0.5,0.00085675,0.0008567
0.34,-0.5,0.00087895,0.0008788
0.35,-0.5,0.00089915,0.00089907
0.36,-0.5,0.00091912,0.00091902
0.37,-0.5,0.0009388,0.00093858
0.38,-0.5,0.00095816,0.00095803
0.39,-0.5,0.00097862,0.00097846
0.4,-0.5,0.00099721,0.00099707
0.41,-0.5,0.00101542,0.00101531
0.42,-0.5,0.00103336,0.00103329
0.43,-0.5,0.00105105,0.00105103
0.44,-0.5,0.00106967,0.00106961
0.45,-0.5,0.00108668,0.00108662
0.46,-0.5,0.00110329,0.00110321
0.47,-0.5,0.00111961,0.00111952
0.48,-0.5,0.00113574,0.00113565
0.49,-0.5,0.0011527,0.0011526
0.5,-0.5,0.0011679,0.0011678
0.51,-0.5,0.0011829,0.0011828
0.52,-0.5,0.0011974,0.0011973
0.53,-0.5,0.001212,0.0012118
0.54,-0.5,0.0012271,0.0012269
0.55,-0.5,0.0012407,0.0012406
0.56,-0.5,0.0012542,0.001254
0.57,-0.5,0.0012673,0.001267
0.58,-0.5,0.0012801,0.00128
0.59,-0.5,0.0012935,0.0012934
0.6,-0.5,0.0013054,0.0013056
0.61,-0.5,0.0013174,0.0013171
0.62,-0.5,0.001329,0.0013287
0.63,-0.5,0.0013402,0.0013402
0.64,-0.5,0.0013517,0.0013517
0.65,-0.5,0.0013627,0.0013624
0.66,-0.5,0.0013729,0.0013729
0.67,-0.5,0.001383,0.0013829
0.68,-0.5,0.0013929,0.0013928
0.69,-0.5,0.0014025,0.0014021
0.7,-0.5,0.0014123,0.0014118
0.71,-0.5,0.001421,0.001421
0.72,-0.5,0.0014299,0.0014296
0.73,-0.5,0.0014382,0.0014379
0.74,-0.5,0.0014462,0.0014462
0.75,-0.5,0.0014549,0.0014549
0.76,-0.5,0.0014628,0.0014625
0.77,-0.5,0.00147,0.0014701
0.78,-0.5,0.0014771,0.0014772
0.79,-0.5,0.0014843,0.0014837
0.8,-0.5,0.0014914,0.0014914
0.81,-0.5,0.0014979,0.0014977
0.82,-0.5,0.0015042,0.001504
0.83,-0.5,0.0015103,0.0015099
0.84,-0.5,0.0015159,0.0015158
0.85,-0.5,0.001522,0.0015219
0.86,-0.5,0.0015276,0.0015273
0.87,-0.5,0.0015327,0.0015327
0.88,-0.5,0.0015378,0.0015377
0.89,-0.5,0.0015428,0.0015428
0.9,-0.5,0.0015478,0.0015475
0.91,-0.5,0.0015525,0.0015523
0.92,-0.5,0.0015568,0.0015566
0.93,-0.5,0.001561,0.0015608
0.94,-0.5,0.0015649,0.0015649
0.95,-0.5,0.0015691,0.001569
0.96,-0.5,0.0015729,0.0015728
0.97,-0.5,0.0015766,0.0015765
0.98,-0.5,0.0015801,0.0015802
0.99,-0.5,0.0015833,0.0015833
1,-0.5,0.0015869,0.0015867
1.01,-0.5,0.0015899,0.0015899
1.02,-0.5,0.0015929,0.0015929
1.03,-0.5,0.0015958,0.0015956
1.04,-0.5,0.0015986,0.0015983
1.05,-0.5,0.0016016,0.0016015
1.06,-0.5,0.001604,0.0016039
1.07,-0.5,0.0016063,0.0016066
1.08,-0.5,0.0016087,0.0016086
1.09,-0.5,0.001611,0.001611
1.1,-0.5,0.0016135,0.0016133
1.11,-0.5,0.0016156,0.0016156
1.12,-0.5,0.0016177,0.0016176
1.13,-0.5,0.0016198,0.0016196
1.14,-0.5,0.0016216,0.0016213
1.15,-0.5,0.0016238,0.0016237
1.16,-0.5,0.0016255,0.0016252
1.17,-0.5,0.0016271,0.0016272
1.18,-0.5,0.0016288,0.0016288
1.19,-0.5,0.0016304,0.0016302
1.2,-0.5,0.0016322,0.0016319
1.21,-0.5,0.0016337,0.0016332
1.22,-0.5,0.0016352,0.0016347
1.23,-0.5,0.0016366,0.0016361
1.24,-0.5,0.0016378,0.0016378
1.25,-0.5,0.0016392,0.0016392
1.26,-0.5,0.0016407,0.0016403
1.27,-0.5,0.0016418,0.0016417
1.28,-0.5,0.0016431,0.0016429
1.29,-0.5,0.0016443,0.0016443
1.3,-0.5,0.0016455,0.0016454
1.31,-0.5,0.0016465,0.0016466
1.32,-0.5,0.0016478,0.0016477
1.33,-0.5,0.001649,0.0016485
1.34,-0.5,0.0016497,0.0016498
1.35,-0.5,0.0016509,0.0016508
1.36,-0.5,0.001652,0.001652
1.37,-0.5,0.0016529,0.001653
1.38,-0.5,0.0016538,0.0016538
1.39,-0.5,0.0016548,0.0016544
1.4,-0.5,0.0016556,0.0016554
1.41,-0.5,0.0016568,0.0016566
1.42,-0.5,0.0016576,0.0016573
1.43,-0.5,0.0016583,0.0016583
1.44,-0.5,0.0016591,0.001659
1.45,-0.5,0.00166,0.0016597
1.46,-0.5,0.0016608,0.0016605
1.47,-0.5,0.0016614,0.0016615
1.48,-0.5,0.0016624,0.001662
1.49,-0.5,0.001663,0.0016629
1.5,-0.5,0.0016637,0.0016637
1.51,-0.5,0.0016644,0.0016645
1.52,-0.5,0.0016651,0.0016651
1.53,-0.5,0.0016659,0.0016658
1.54,-0.5,0.0016664,0.0016665
1.55,-0.5,0.0016675,0.0016669
1.56,-0.5,0.001668,0.0016678
1.57,-0.5,0.0016687,0.0016687
1.58,-0.5,0.0016692,0.001669
1.59,-0.5,0.0016699,0.0016697
1.6,-0.5,0.0016706,0.0016704
1.61,-0.5,0.0016714,0.0016711
1.62,-0.5,0.0016719,0.0016717
1.63,-0.5,0.0016723,0.0016722
1.64,-0.5,0.0016729,0.0016727
1.65,-0.5,0.0016736,0.0016733
1.66,-0.5,0.0016741,0.001674
1.67,-0.5,0.0016748,0.0016745
1.68,-0.5,0.0016752,0.001675
1.69,-0.5,0.0016758,0.0016753
1.7,-0.5,0.0016761,0.001676
1.71,-0.5,0.0016767,0.0016766
1.72,-0.5,0.0016772,0.0016773
1.73,-0.5,0.0016779,0.0016779
1.74,-0.5,0.0016782,0.0016783
1.75,-0.5,0.0016788,0.0016786
1.76,-0.5,0.0016794,0.0016793
1.77,-0.5,0.0016799,0.0016796
1.78,-0.5,0.0016802,0.0016799
1.79,-0.5,0.0016807,0.0016806
1.8,-0.5,0.0016814,0.0016811
1.81,-0.5,0.0016817,0.0016816
1.82,-0.5,0.0016824,0.0016822
1.83,-0.5,0.0016825,0.0016826
1.84,-0.5,0.0016831,0.001683
1.85,-0.5,0.0016835,0.0016834
1.86,-0.5,0.0016838,0.0016838
1.87,-0.5,0.0016844,0.0016842
1.88,-0.5,0.0016848,0.0016847
1.89,-0.5,0.0016852,0.001685
1.9,-0.5,0.0016855,0.0016856
1.91,-0.5,0.0016863,0.0016859
1.92,-0.5,0.0016866,0.0016863
1.93,-0.5,0.001687,0.0016868
1.94,-0.5,0.0016875,0.0016875
1.95,-0.5,0.0016878,0.0016876
1.96,-0.5,0.0016882,0.0016881
1.97,-0.5,0.0016884,0.0016886
1.98,-0.5,0.0016892,0.001689
1.99,-0.5,0.0016892,0.0016893
2,-0.5,0.0016896,0.0016896
2.01,-0.5,0.0016901,0.00169
2.02,-0.5,0.0016905,0.0016905
2.03,-0.5,0.0016908,0.0016908
2.04,-0.5,0.0016913,0.0016913
2.05,-0.5,0.0016919,0.0016916
2.06,-0.5,0.0016923,0.0016918
2.07,-0.5,0.0016926,0.0016924
2.08,-0.5,0.001693,0.0016926
2.09,-0.5,0.0016932,0.0016931
2.1,-0.5,0.0016934,0.0016935
2.11,-0.5,0.0016938,0.0016937
2.12,-0.5,0.0016944,0.0016942
2.13,-0.5,0.0016945,0.0016945
2.14,-0.5,0.001695,0.001695
2.15,-0.5,0.0016952,0.0016953
2.16,-0.5,0.0016955,0.0016955
2.17,-0.5,0.001696,0.0016959
2.18,-0.5,0.0016965,0.0016961
2.19,-0.5,0.0016966,0.0016963
2.2,-0.5,0.001697,0.0016968
2.21,-0.5,0.0016973,0.0016973
2.22,-0.5,0.0016974,0.0016976
2.23,-0.5,0.0016978,0.0016979
2.24,-0.5,0.0016984,0.0016981
2.25,-0.5,0.0016985,0.0016986
2.26,-0.5,0.0016989,0.0016989
2.27,-0.5,0.0016992,0.0016992
2.28,-0.5,0.0016997,0.0016995
2.29,-0.5,0.0016998,0.0016998
2.3,-0.5,0.0017,0.0017
2.31,-0.5,0.0017006,0.0017003
2.32,-0.5,0.0017009,0.001701
2.33,-0.5,0.0017012,0.001701
2.34,-0.5,0.0017014,0.0017014
2.35,-0.5,0.0017016,0.0017015
2.36,-0.5,0.001702,0.0017021
2.37,-0.5,0.0017023,0.0017024
2.38,-0.5,0.0017026,0.0017024
2.39,-0.5,0.001703,0.0017027
2.4,-0.5,0.0017033,0.0017034
2.41,-0.5,0.0017035,0.0017034
2.42,-0.5,0.0017039,0.0017038
2.43,-0.5,0.0017039,0.0017039
2.44,-0.5,0.0017042,0.0017044
2.45,-0.5,0.0017048,0.0017045
2.46,-0.5,0.0017051,0.001705
2.47,-0.5,0.0017052,0.0017052
2.48,-0.5,0.0017057,0.0017054
2.49,-0.5,0.0017061,0.0017057
2.5,-0.5,0.0017062,0.001706
2.51,-0.5,0.0017063,0.0017063
2.52,-0.5,0.0017066,0.0017067
2.53,-0.5,0.001707,0.0017069
2.54,-0.5,0.0017072,0.0017072
2.55,-0.5,0.0017075,0.0017076
2.56,-0.5,0.0017079,0.0017078
2.57,-0.5,0.0017081,0.0017081
2.58,-0.5,0.0017083,0.0017084
2.59,-0.5,0.0017087,0.0017086
2.6,-0.5,0.0017091,0.0017088
2.61,-0.5,0.0017093,0.0017091
2.62,-0.5,0.0017094,0.0017093
2.63,-0.5,0.0017099,0.0017099
2.64,-0.5,0.0017101,0.00171
2.65,-0.5,0.0017104,0.0017102
2.66,-0.5,0.0017106,0.0017105
2.67,-0.5,0.0017108,0.0017109
2.68,-0.5,0.0017112,0.0017111
2.69,-0.5,0.0017114,0.0017114
2.7,-0.5,0.0017117,0.0017117
2.71,-0.5,0.0017118,0.0017117
2.72,-0.5,0.0017123,0.0017123
2.73,-0.5,0.0017125,0.0017123
2.74,-0.5,0.0017129,0.0017128
2.75,-0.5,0.0017129,0.001713
2.76,-0.5,0.0017132,0.0017132
2.77,-0.5,0.0017135,0.0017135
2.78,-0.5,0.0017138,0.0017136
2.79,-0.5,0.0017139,0.0017141
2.8,-0.5,0.0017143,0.0017143
2.81,-0.5,0.0017144,0.0017144
2.82,-0.5,0.0017147,0.0017147
2.83,-0.5,0.0017151,0.0017149
2.84,-0.5,0.0017155,0.0017153
2.85,-0.5,0.0017156,0.0017154
2.86,-0.5,0.0017157,0.0017158
2.87,-0.5,0.0017161,0.0017161
2.88,-0.5,0.0017165,0.0017164
2.89,-0.5,0.0017166,0.0017166
2.9,-0.5,0.0017171,0.0017168
2.91,-0.5,0.0017171,0.0017171
2.92,-0.5,0.0017173,0.0017172
2.93,-0.5,0.0017174,0.0017177
2.94,-0.5,0.0017177,0.0017178
2.95,-0.5,0.0017182,0.0017181
2.96,-0.5,0.0017182,0.0017183
2.97,-0.5,0.0017186,0.0017185
2.98,-0.5,0.0017188,0.0017189
2.99,-0.5,0.0017191,0.0017193
3,-0.5,0.0017193,0.0017193
3.01,-0.5,0.0017196,0.0017197
3.02,-0.5,0.0017199,0.0017197
3.03,-0.5,0.0017201,0.0017201
3.04,-0.5,0.0017203,0.0017202
3.05,-0.5,0.0017205,0.0017205
3.06,-0.5,0.0017207,0.0017207
3.07,-0.5,0.0017211,0.0017208
3.08,-0.5,0.0017213,0.0017213
3.09,-0.5,0.0017214,0.0017215
