VGS,VDS,ID1,ID2
-2.92,-3,-0.0000098257,-0.0000098367
-2.91,-3,-0.0000095843,-0.0000095976
-2.9,-3,-0.0000094128,-0.0000094099
-2.89,-3,-0.0000092362,-0.0000092433
-2.88,-3,-0.000009017,-0.0000090266
-2.87,-3,-0.0000088376,-0.000008835
-2.86,-3,-0.0000086606,-0.0000086674
-2.85,-3,-0.0000084503,-0.0000084658
-2.84,-3,-0.0000082702,-0.0000082691
-2.83,-3,-0.0000081177,-0.0000081168
-2.82,-3,-0.000007917,-0.000007934
-2.81,-3,-0.0000077331,-0.0000077358
-2.8,-3,-0.0000075758,-0.0000075761
-2.79,-3,-0.0000073927,-0.0000074079
-2.78,-3,-0.000007203,-0.0000072067
-2.77,-3,-0.0000070629,-0.0000070619
-2.76,-3,-0.0000068958,-0.0000069107
-2.75,-3,-0.0000066942,-0.000006705
-2.74,-3,-0.0000065577,-0.0000065531
-2.73,-3,-0.000006406,-0.0000064153
-2.72,-3,-0.0000062181,-0.0000062302
-2.71,-3,-0.0000060798,-0.000006077
-2.7,-3,-0.0000059318,-0.0000059405
-2.69,-3,-0.0000057521,-0.0000057638
-2.68,-3,-0.0000056099,-0.0000056063
-2.67,-3,-0.0000054856,-0.0000054894
-2.66,-3,-0.000005314,-0.0000053315
-2.65,-3,-0.000005159,-0.0000051576
-2.64,-3,-0.0000050471,-0.0000050447
-2.63,-3,-0.0000048884,-0.0000049036
-2.62,-3,-0.0000047386,-0.0000047402
-2.61,-3,-0.0000046318,-0.0000046321
-2.6,-3,-0.0000044827,-0.000004497
-2.59,-3,-0.0000043294,-0.0000043341
-2.58,-3,-0.000004228,-0.0000042229
-2.57,-3,-0.0000041033,-0.0000041138
-2.56,-3,-0.0000039501,-0.0000039616
-2.55,-3,-0.0000038421,-0.0000038361
-2.54,-3,-0.0000037338,-0.0000037396
-2.53,-3,-0.000003585,-0.000003595
-2.52,-3,-0.0000034818,-0.0000034764
-2.51,-3,-0.0000033878,-0.0000033929
-2.5,-3,-0.0000032483,-0.0000032608
-2.49,-3,-0.0000031332,-0.0000031289
-2.48,-3,-0.0000030511,-0.0000030496
-2.47,-3,-0.0000029213,-0.0000029378
-2.46,-3,-0.000002812,-0.0000028109
-2.45,-3,-0.0000027398,-0.0000027371
-2.44,-3,-0.0000026179,-0.000002632
-2.43,-3,-0.0000025037,-0.0000025037
-2.42,-3,-0.0000024352,-0.0000024324
-2.41,-3,-0.0000023379,-0.0000023519
-2.4,-3,-0.0000022229,-0.0000022303
-2.39,-3,-0.0000021532,-0.0000021448
-2.38,-3,-0.0000020708,-0.0000020789
-2.37,-3,-0.0000019557,-0.0000019662
-2.36,-3,-0.0000018923,-0.0000018858
-2.35,-3,-0.0000018263,-0.0000018325
-2.34,-3,-0.0000017122,-0.0000017216
-2.33,-3,-0.0000016435,-0.0000016373
-2.32,-3,-0.0000015912,-0.0000015933
-2.31,-3,-0.0000014915,-0.0000015064
-2.3,-3,-0.0000014203,-0.0000014163
-2.29,-3,-0.0000013749,-0.0000013704
-2.28,-3,-0.0000012859,-0.0000013002
-2.27,-3,-0.0000012106,-0.00000121
-2.26,-3,-0.0000011765,-0.0000011735
-2.25,-3,-0.0000011055,-0.0000011188
-2.24,-3,-0.000001022,-0.0000010234
-2.23,-3,-0.00000096412,-0.00000097269
-2.22,-3,-0.00000092666,-0.00000092019
-2.21,-3,-0.00000089221,-0.0000008917
-2.2,-3,-0.00000081537,-0.0000008315
-2.19,-3,-0.00000075972,-0.00000075768
-2.18,-3,-0.00000073369,-0.00000072507
-2.17,-3,-0.00000069192,-0.00000069837
-2.16,-3,-0.00000062183,-0.00000062798
-2.15,-3,-0.00000058622,-0.00000058011
-2.14,-3,-0.00000057334,-0.00000056536
-2.13,-3,-0.00000051522,-0.00000052723
-2.12,-3,-0.000000458,-0.00000046412
-2.11,-3,-0.00000044702,-0.00000043581
-2.1,-3,-0.00000042487,-0.00000043092
-2.09,-3,-0.0000003668,-0.00000038064
-2.08,-3,-0.0000003302,-0.00000032778
-2.07,-3,-0.00000032877,-0.00000032456
-2.06,-3,-0.00000029908,-0.00000030864
-2.05,-3,-0.0000002454,-0.0000002563
-2.04,-3,-0.00000023837,-0.00000022747
